Assignment ,Requirements,Due,Points
In-Class Exercises,25 exercises x 20 pts each,in class,500
Movie Reviews (3 total),Completed review form,30-Sep,250
Analytic Essay,Analytical essay (1000 wds),21-Oct,250
Personal action to advance rain forest conservation,Reflective Essay (500-700 wds),9-Dec,250
Awareness Campaign Materials,3 items + summary (500-700 wds),9-Dec,250
